HstNummer;Name mit Ort;Name ohne Ort;Ort;GKZ;Globale ID;Tarifgebiete;MVTT X;MVTT Y;WGS84 X;WGS84 Y
7934;Hettenshausen, Kirche;Kirche;Hettenshausen;9186126;de:09186:8137;;4463531;786327;48,49974558;11,50506702
7935;Ilmmünster, Starzenbachstraße;Starzenbachstraße;Ilmmünster;9186130;de:09186:8138;;4463473;787304;48,49095657;11,50436776
7936;Ilmmünster, Feuerwehrhaus;Feuerwehrhaus;Ilmmünster;9186130;;;4463756;787780;48,48669255;11,5082377
7937;Ilmmünster, B 13;Ilmmünster, B 13;Ilmmünster;9186130;;;;;;
7938;Pfaffenhofen (Ilm) Busbahnhof;Busbahnhof;Pfaffenhofen a.d.Ilm;9186143;de:09186:8134:2;;4464093;783788;48,52260981;11,51245271
7939;Pfarrhof;Pfarrhof;Ilmmünster;9186130;;;4463378;787694;48,48744397;11,50311676
7940;Reichertshausen;Reichertshausen;Reichertshausen/Ilm;9186146;de:09186:8141;;4463886;789502;48,47121497;11,51014519
7950;Paindorf;Paindorf;Paindorf (Obb);9186146;de:09186:9019;;4462184;792651;48,44279745;11,48741328
7951;Schloßberg (Altomünster);Schloßberg (Altomünster);Schloßberg (Altom.);9174111;de:09174:7951;;4439187;799995;48,37495766;11,17766959
7952;Rametsried;Rametsried;Rametsried;9174111;de:09174:7952;;4438501;801553;48,36088154;11,16863858
7999;Oberdorf (DAH), Ort;Oberdorf (DAH) Ort;Oberdorf (Tandern);9174147;de:09174:7999;;4448844;792743;48,44102682;11,3071284
8010;Altdorf B15;Altdorf B15;Altdorf (Haag/Obb.);9183119;de:09183:80605;;4513760;824960;48,15323048;12,18348781
8011;Gars, Bosostraße;Gars, Bosostraße;Gars am Inn;9183118;de:09183:6544;;4520609;824789;48,15458401;12,27554641
8012;Glasberg, Abzw.;Abzw.;Glasberg (Kr MÜ);9183118;de:09183:6948;;4519680;824918;48,15345321;12,26305442
